sku;name;weight;price;category;stock;description;image
9YJ4AHVMU;Kit La Boue Verte Home Care 3 Itens;;120.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/kit-la-boue-verte-home-care-3-itens-647a01b4e038b-large.png
V58UBR2JL;Condicionador Pimenta Rosa Eco Belle 300 mL;300 mL;35.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/condicionador-pimenta-rosa-eco-belle-300-ml-64ef8e1f89285-large.png
E35TQSMD8;Shampoo Manutenção Lama La Boue EcoBelle 300 mL;300 mL;40.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/shampoo-manutencao-lama-la-boue-ecobelle-300-ml-6927b291331e6-large.png
ELVY4XSSY;Loção Noturna Manutenção Lama La Boue EcoBelle 300 mL;300 mL;40.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/locao-noturna-manutencao-lama-la-boue-ecobelle-300-ml-6927b31a76b00-large.png
ZHX85TBZS;Máscara Silver Platinum Bela Pro 300 g;300 g;40.00;Bela Pro;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/mascara-silver-platinum-bela-pro-300-g-653733904fd23-large.png
V4M66277J;Máscara NutriSim Bela Pro 300 g;300 g;36.00;Bela Pro;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/mascara-nutrisim-bela-pro-300-g-653736f43e10a-large.png
XFGMQY4RW;Condicionador HidraSim Bela Pro 500 mL;500 mL;28.00;Bela Pro;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/condicionador-hidrasim-bela-pro-500-ml-65373a203c4aa-large.png
ZKDQ2Y47Q;Sérum HidraSim Bela Pro 60 mL;60 mL;45.90;Bela Pro;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/serum-hidrasim-bela-pro-60-ml-65373b13d9e71-large.png
HZMGEJ3T4;Queratina em Gel Keracap EcoBelle 120 mL;120 mL;41.99;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/queratina-em-gel-keracap-ecobelle-120-ml-6927a82953c3f-large.png
75DJZXWT5;Shampoo Galão Queratina EcoBelle 5L;5L;120.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/shampoo-galao-queratina-ecobelle-5l-6927aaf1afba8-large.png
63KEV2FBA;Recondicionador Galão EcoBelle 5L;5L;120.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/recondicionador-galao-ecobelle-5l-6927ac60325d3-large.png
LJNMFY4VX;Condicionador Extrato de Algas Marinhas Eco Belle 1 L;1 L;34.99;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/condicionador-extrato-de-algas-marinhas-eco-belle-1-l-65faedce4c2fc-large.png
3KYSCLPBF;Emulsão Cremosa Oxidante OX10 Volumes EcoBelle 900 mL;900 mL;32.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/emulsao-cremosa-oxidante-ox10-volumes-ecobelle-900-ml-67411a0d22bbe-large.png
Q4GBW4NRR;Emulsão Cremosa Oxidante OX40 Volumes EcoBelle 900 mL;900 mL;32.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/emulsao-cremosa-ox-40-volumes-eco-belle-900-ml-64f2086601e8c-large.png
7HRBA34L7;Pó Descolorante Capilar Blue EcoBelle 500g;500g;105.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/po-descolorante-capilar-profissional-eco-belle-500g-646d07a1b283e-large.png
HRYL6GJ66;Condicionador EcoBarber 800 mL;800 mL;35.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/condicionador-ecobarber-1l-646d091943673-large.png
YCP5J38EF;Shampoo Quartzo La Boue Branc com Avelã Eco Belle 500 ml;500 ml;80.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/shampoo-quartzo-la-boue-branc-com-avela-eco-belle-500-ml-6479f5304400a-large.png
DVQRLRWYY;Máscara de Tratamento La Boue Blanc EcoBelle 500ml;500ml;200.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/mascara-de-tratamento-la-boue-blanc-ecobelle-500ml-6479f8ff1c5a8-large.png
PML3C9J4M;Kit La Boue Blanc Home Care 3 Itens;;120.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/kit-la-boue-blanc-home-care-3-itens-6479fa8b93395-large.png
9FNYY9DS2;Kit La Boue Verte EcoBelle 500ml;500ml;380.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/kit-la-boue-verte-ecobelle-500ml-6479ff54d628c-large.png
HP9LFWALK;Condicionador doÈden Capim-Limão e Alecrim 300 mL;300 mL;35.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/condicionador-doeden-capim-limao-alecrim-300-ml-64ef94abee37f-large.png
JYQAJ9FDQ;Emulsão Cremosa Oxidante OX05 Volumes EcoBelle 900 mL;900 mL;32.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/emulsao-cremosa-ox-05-volumes-eco-belle-900-ml-64f209e678dec-large.png
P3SMM9FXM;Máscara Liso Mágico Bela Pro 300 g;300 g;36.00;Bela Pro;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/mascara-liso-magico-bela-pro-300-g-65372f05f1a7c-large.png
